Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made
Caroline E. L. Wilkinson,Abstract Composition with Fabric Collage,NA,NA,Abstract composition,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,mixed media works; paintings (visual works); oil paintings (visual works),NA,EU3065,https://collections.ed.ac.uk/art/record/22511?highlight=*:*,NA,NA
Caroline Rose,Untitled,1968,20th century; 1960s,Abstract print,NA,50.7cm H x 76.4cm W,Art Collection; Edinburgh College of Art,NA,Caroline Rose signature,EU2720,https://collections.ed.ac.uk/art/record/21843?highlight=*:*,NA,NA
Carolyn Muskat,Untitled,2003,2000s,"Lithograph print on paper, depicting a what appears to be a tiled floor, and on the left hand side we see a sig-zagging limb, that comes to life on the final tile and reaches out towards us.",paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection,lithographs,Edition 1/30,EU5183,https://collections.ed.ac.uk/art/record/99955?highlight=*:*,NA,NA
Carolyn S Byres,Untitled - Drawing in Profile of a Sitting Woman,1980,20th century; 1980s,Figure drawing in graphite of a woman with short hair sitting on a chair in profile with a sketch of a man sitting next to her in the background.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); pencil drawings; drawings 1901-2000; life drawings,NA,EU4189,https://collections.ed.ac.uk/art/record/99425?highlight=*:*,NA,NA
Carolyn S Byres,Untitled - Woman in Hat with Ribbon,1980,20th century; 1980s,Figure drawing in graphite of a woman sitting wearing a dress and a hat which is tied to her head with a ribbon which fastens in a bow under her chin.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); pencil drawings; drawings 1901-2000; life drawings,NA,EU4190,https://collections.ed.ac.uk/art/record/99426?highlight=*:*,NA,NA
Carolyn Wall,Unknown,1974,20th century; 1970s,Yellow and black print.Three women reclining in a room with a lampshade and some furniture.,NA,58.5cm (H) x 80cm (W),Art Collection; Edinburgh College of Art,prints (visual works),"Carolyn Wall, 1974",EU2827,https://collections.ed.ac.uk/art/record/21948?highlight=*:*,NA,NA
Carra McNeil,Untitled,1966,NA,"Portait of a lady wearing a red dress and black hat, looking to the side.",NA,40cm (H) x 27cm (W),Art Collection; Edinburgh College of Art,drawings (visual works),Bottom left corner - artists signature and date. Bottom right corner - date and torn tellow sticker. On the back the artist has signed their name with the date.,EU3011,https://collections.ed.ac.uk/art/record/22506?highlight=*:*,NA,NA
Catherine A. MacLean,Bearded Man Sitting,Circa 1973,1970s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3176,https://collections.ed.ac.uk/art/record/22621?highlight=*:*,NA,NA
Catherine Banchop,Kneeling Nude Male,1961,20th century; 1960s,NA,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU2152,https://collections.ed.ac.uk/art/record/21279?highlight=*:*,NA,NA
Catherine Banchop,Standing Female Nude and Stool,1960s,20th century; 1960s,NA,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU2142,https://collections.ed.ac.uk/art/record/21269?highlight=*:*,NA,NA
Catherine Fairgrieve,Untitled,Unknown,NA,Drawing of a corridor in the Main Building of Edinburgh College of Art,charcoal (material)/plant material/materials (substances); pastels (crayons)/crayons (drawing material),84.2cm H x 56.5cm W (with mount) 76cm H x 51cm W (without mount),Art Collection; Edinburgh College of Art,charcoal drawings; pastel,Catherine Fairgrieve signature,EU2596,https://collections.ed.ac.uk/art/record/21721?highlight=*:*,NA,NA
Catherine I. McIvor,Woman with Child and Still Life,1938,20th century; 1930s,Portrait of woman and child,oil paint (paint)/paint (coating); plywood/plant material/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3066,https://collections.ed.ac.uk/art/record/22512?highlight=*:*,NA,NA
Catherine M Gibson,Seated Male Nude,25 Jan 1954,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2102,https://collections.ed.ac.uk/art/record/21229?highlight=*:*,NA,NA
Catherine Orbach,"Mountains, Arran",Unknown,NA,Brightly coloured print of mountain landscape.,NA,56.7cm (H) x 76.2cm (W),Art Collection; Edinburgh College of Art,prints (visual works),"Front left: edition ""A/P"", middle: title ""Mountains, Arran"", right: signature ""Catherine Orbach""",EU2848,https://collections.ed.ac.uk/art/record/21968?highlight=*:*,NA,NA
Catherine Orbach,3 Paps of Jura,Unknown,NA,"Minimal landscape of loch with mountains in the background. Purple, indigo and brown ink.",NA,28.7cm (H) x 38.7cm (W),Art Collection; Edinburgh College of Art,prints (visual works),"edition number: 1/6, title: 3 Paps of Jura, artist name: Catherine Orbach",EU2863,https://collections.ed.ac.uk/art/record/21981?highlight=*:*,NA,NA
Catherine Orbach,West Coast Seascape,Unknown,NA,Rocky seascape,NA,28.5cm H x 37.2 W,Art Collection; Edinburgh College of Art,prints (visual works),Catherine Orbach signature,EU2665,https://collections.ed.ac.uk/art/record/21790?highlight=*:*,NA,NA
Catherine Orbach,North Berwick from Belhaven Bay,Unknown,NA,Seascape,NA,28.1cm H x 38cm W,Art Collection; Edinburgh College of Art,prints (visual works); lithographs,Catherine Orbach signature,EU2667,https://collections.ed.ac.uk/art/record/21792?highlight=*:*,NA,NA
Catherine Robbie,etc,2006,NA,"Two associated prints on toned paper. Image on the left is an embossing of a map, image on the right features the portrait of a woman with text overlay.",mixed media/materials (substances),NA,Art Collection; Edinburgh College of Art,mixed media works,Edition 11/30,EU5092,https://collections.ed.ac.uk/art/record/99865?highlight=*:*,NA,NA
Catherine Robin,Untitled - Portrait of a Girl in a Hat,05 Dec 1966,20th century; 1960s,"Drawing in pastel, charcoal, and graphite on pink paper of a girl wearing a hat with a white ribbon and a blue jacket.",Oil pastel,NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); portrait; drawings 1901-2000; charcoal drawings; pastel; pencil drawings,NA,EU4175,https://collections.ed.ac.uk/art/record/99411?highlight=*:*,NA,NA
Catherine Robin,Untitled - Two Men in Suits,1967,20th century; 1960s,"Drawing in graphite, charcoal, and gouache of two middle aged business sitting in profile in their suit one of whom wears glasses.",graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); portrait; drawings 1901-2000; charcoal drawings; watercolours (paintings); paintings 2001- present; gouache; pencil drawings,NA,EU4176,https://collections.ed.ac.uk/art/record/99412?highlight=*:*,NA,NA
Catherine Sargeant,Eclectic,2007,2000s,Screenprint,Print,NA,Art Collection; Edinburgh College of Art,screen prints,"Also marked, 1/4 in the edition",EU5079,https://collections.ed.ac.uk/art/record/99852?highlight=*:*,NA,NA
Catherine Temple,Untitled,Unknown,NA,Abstract shapes superimposed over a map of Aberdeenshire.,NA,75.8cm H x 56.5cm W,Art Collection; Edinburgh College of Art,prints (visual works),Cath Temple signature,EU2480,https://collections.ed.ac.uk/art/record/21605?highlight=*:*,NA,NA
Catlin Dalton,A Red Made For R.M Rilke,2006,2000s,Screenprint of botanical scene in a red to yellow gradient on trace.,Print,NA,Art Collection; Edinburgh College of Art,screen prints,Edition 11/30,EU5111,https://collections.ed.ac.uk/art/record/99884?highlight=*:*,NA,NA
Cecil Collins,Girl in a Mask,Unknown,NA,Framed lithograph,NA,58cm W x 77cm H framed,Art Collection; Edinburgh College of Art,prints (visual works); lithographs,NA,EU2556,https://collections.ed.ac.uk/art/record/21681?highlight=*:*,NA,NA
Cecile E M Johnston,Standing Male Nude with Staff,1950,20th century; 1950s,Gained her Diploma from ECA in 1950.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1898,https://collections.ed.ac.uk/art/record/21025?highlight=*:*,NA,NA
Cecile E M Johnston,Standing Male Nude,1950,20th century; 1950s,Gained her Diploma from ECA in 1950.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1899,https://collections.ed.ac.uk/art/record/21026?highlight=*:*,NA,NA
Cecile E M Johnston,Circus,1950,20th century; 1950s,Gained her Diploma from ECA in 1950.,watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1900,https://collections.ed.ac.uk/art/record/21027?highlight=*:*,NA,NA
Cecile E. M. Johnstone,Portrait of a Boy,1950,20th century; 1950s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3222,https://collections.ed.ac.uk/art/record/22667?highlight=*:*,NA,NA
Charlene Anderson,Two Men Standing,NA,NA,NA,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1964,https://collections.ed.ac.uk/art/record/21091?highlight=*:*,NA,NA
"Charles d'Orville Pilkington-Jackson ARSA, FRBS, FRSA (b.1887, d.1973) VIAF ; FC Mears VIAF",Edinburgh College of Art War Memorial,1922,20th century,"Memorial to students who had fallen in the war. Incomplete list of names on scroll kept in simply decorated bronze casket on stone plinth. Funded by staff, students and friends",stone (worked rock)/rock (inorganic material)/inorganic material/materials (substances); bronze (metal)/copper alloy/nonferrous metal/metal/inorganic material/materials (substances),NA,Art Collection; Art Collection; Art Collection; Edinburgh College of Art; Public Art Collection,NA,"Two Inscriptions are engraved on stone. Fristly 'There name liveth for evermore' is written on the side facing outward over sculpture court. On the opposite side ' Within this casket rests a scroll recording the names of Students, Staff and Servants who gave their lives for their country'",EU5213,https://collections.ed.ac.uk/art/record/99985?highlight=*:*,NA,Europe; United Kingdom; Edinburgh; Scotland
Charles E. Milson,Unclassified,2003,2000s,"Linocut on paper, with hand stamped details. Abstract form, with reliefs cut away from it. Stamp of Alice in Wonderland's Mad Hatter inside",paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection,prints (visual works); linocuts (prints); woodcuts (prints),C.Milson 2003,EU5161,https://collections.ed.ac.uk/art/record/99933?highlight=*:*,NA,NA
Charles Ian Patterson,Untitled - Nude Male,1968-1969,20th century; 1960s,Figure drawing in graphite of a nude man sitting from behind.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; pencil drawings; life drawings; drawings (visual works); drawings 1901-2000,NA,EU4173,https://collections.ed.ac.uk/art/record/99409?highlight=*:*,NA,NA
Charles Ian Patterson,Portrait of a Man,1968,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2195,https://collections.ed.ac.uk/art/record/21321?highlight=*:*,NA,NA
Charles Ian Patterson,Sky with Floating Kites,Circa 1968,20th century; 1960s; 1970s,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); acrylic,NA,EU3143,https://collections.ed.ac.uk/art/record/22588?highlight=*:*,NA,NA
Charles K. S. Shaw,Abstract Composition in Yellow,Circa 1972,20th century; 1960s; 1970s,NA,charcoal (material)/plant material/materials (substances); canvas (textile material)/textile materials/materials (substances); acrylic paint/paint (coating),NA,Art Collection; Edinburgh College of Art,Abstract (fine arts style),NA,EU3154,https://collections.ed.ac.uk/art/record/22599?highlight=*:*,NA,NA
Charles Myatt,Obstacle - Govan Hill Baths,2014,NA,Multiple coloured wax shapes that piece together to form a solid rectangle. Accompanied by assembly instruction booklet. Awarded the ECA Collections Prize 2014.,Wax,NA,Art Collection; Edinburgh College of Art,sculpture; sculpture,NA,EU2980,https://collections.ed.ac.uk/art/record/47455?highlight=*:*,NA,NA
Charles Myatt,Obstacle - Exploded Drawing,2014,NA,Framed painting. Awarded the ECA Collections Prize 2014.,gouache (paint)/watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,gouache,NA,EU2981,https://collections.ed.ac.uk/art/record/47456?highlight=*:*,NA,NA
Charlotte H.M. Bryce,Untitled,Unknown,NA,Screen print of an industrial landscape. Part of third year Edinburgh College of Art portfolio.,NA,81.4cm h x 58.2cm W,Art Collection; Edinburgh College of Art,NA,Charlotte HM Bryce signature,EU2710,https://collections.ed.ac.uk/art/record/21833?highlight=*:*,NA,NA
Charlotte Roseberry (b.1989),Extrude,2013,NA,NA,acrylic paint/paint (coating),45 x 45 cm,Art Collection; Edinburgh College of Art,acrylic,NA,EU2176,https://collections.ed.ac.uk/art/record/21302?highlight=*:*,NA,Europe; Scotland; United Kingdom
Charlotte Roseberry (b.1989),Nugget,2013,NA,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),70 x 70 cm,Art Collection; Edinburgh College of Art,oil paintings (visual works),NA,EU2175,https://collections.ed.ac.uk/art/record/21301?highlight=*:*,NA,Europe; United Kingdom; Scotland
Chloe E Brayn,Untitled - Abstract Woman,1963,20th century; 1960s,Abstract print of a woman who is hunched over with her hand in a bag and another woman with her back to the viewer in the background.,Print,NA,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,the '63' is written on the blue sticker.,EU4138,https://collections.ed.ac.uk/art/record/99374?highlight=*:*,NA,NA
Chris Holmes,Untitled,1962,20th century; 1960s,Pencil drawing of a seated female nude.,graphite (mineral)/inorganic material/materials (substances),45.7cm H x 27.3cm W,Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,"signature difficult to make out. Could be Chris Holmes, Chistian, Christine",EU2645,https://collections.ed.ac.uk/art/record/21770?highlight=*:*,NA,NA
Chris Holmes,Untitled,1962,20th century; 1960s,Profile of a man in tri-point hat.,graphite (mineral)/inorganic material/materials (substances),44.4cm H x 27cm W,Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU2646,https://collections.ed.ac.uk/art/record/21771?highlight=*:*,NA,NA
Chris Nau,Radio Break,2006,2000s,Lino/block print of an abstract scene made up of pink and grey blocks.,paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection,prints (visual works); linocuts (prints); woodcuts (prints),Edition 11/30,EU5106,https://collections.ed.ac.uk/art/record/99879?highlight=*:*,NA,NA
Christine Malcolm,Reclining Nude with Jacket,1967,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances); paint (coating),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2139,https://collections.ed.ac.uk/art/record/21266?highlight=*:*,NA,NA
Christine Watson,NA,1967,1960s; 20th century,Semi-abstracted city scene with split levels of building construction. Tall building in centre of composition and blue and yellow sky at top. Green and purple accenting to right of composition.,mixed media/materials (substances); paint (coating); ink/coating (material)/materials (substances); graphite (mineral)/inorganic material/materials (substances),48.5cm (W) x 37.2cm (H),Art Collection; Edinburgh College of Art,mixed media works; paintings (visual works),NA,EU3700,https://collections.ed.ac.uk/art/record/53609?highlight=*:*,NA,NA
Christine Watson,Untitled,1967,20th century; 1960s,Portrait of a man,graphite (mineral)/inorganic material/materials (substances); paint (coating); pastels (crayons)/crayons (drawing material),51cm H x 32 cm W (with mount) 49cm H x 30cm W (without mount),Art Collection; Edinburgh College of Art,mixed media works,NA,EU2647,https://collections.ed.ac.uk/art/record/21772?highlight=*:*,NA,NA
Christopher Waite,Reclining and Seated Female Nudes,1994,20th century; 13,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),167.6 x 122 cm,Art Collection; Edinburgh College of Art,NA,NA,EU1620,https://collections.ed.ac.uk/art/record/20747?highlight=*:*,NA,NA
Ciaran O'Nuallian,Untitled,Unknown,NA,Photographic print on high gloss paper of light refraction. Digital print.,Print,NA,Art Collection; Art Collection; Edinburgh College of Art,prints (visual works),No signature or edition information,EU5199,https://collections.ed.ac.uk/art/record/99971?highlight=*:*,NA,NA
Claire Alexander,Unknown,NA,NA,"Two birds. One on a rock and in profile, the other facing the viewer",chalk,51cm (W) x 77.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); chalk drawings,NA,EU3317,https://collections.ed.ac.uk/art/record/50391?highlight=*:*,NA,NA
Claire E. Banks,Untitled,1989,20th century; 1980s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); figure painting,NA,EU3110,https://collections.ed.ac.uk/art/record/22555?highlight=*:*,NA,NA
Claire Lindsay,Untitled,2005,2000s,"Square format screenprint, pale blue background with abstract paint mark print in black overlaying it.",Print,NA,Art Collection; Edinburgh College of Art,screen prints,Edition 11/30,EU5095,https://collections.ed.ac.uk/art/record/99868?highlight=*:*,NA,NA
Claudia Petretti,Portrait in Green,NA,NA,NA,graphite (mineral)/inorganic material/materials (substances); watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,pencil drawings; watercolours (paintings),NA,EU2312,https://collections.ed.ac.uk/art/record/21438?highlight=*:*,NA,NA
Claudia Petretti,Portrait of a Man,NA,NA,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2315,https://collections.ed.ac.uk/art/record/21441?highlight=*:*,NA,NA
Claudia Petretti,Man Sleeping,NA,NA,NA,chalk; graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,chalk drawings; pencil drawings,NA,EU2351,https://collections.ed.ac.uk/art/record/21477?highlight=*:*,NA,NA
Claudia Petretti,Man in Black,NA,NA,NA,pastels (crayons)/crayons (drawing material); chalk; paper (fibre product),NA,Art Collection; Edinburgh College of Art,pastel; chalk drawings,NA,EU2356,https://collections.ed.ac.uk/art/record/21482?highlight=*:*,NA,NA
Clement Pappi,Gates of Paradise,1835,19th century; 1830s,"1st mould; 2nd strike (1st strike to French Academy, Rome). Seamline identical to cast in the Ecole National superior de Beaux-Arts, Paris. Vincent Butler carried out various repairs and retouched the paint at various dates (VB to MS, 16.3.08). Cast from an original :East Doors of Florence Baptistery, ('Porta Del Paradiso'), 1424-52, Museo dell'Opera del Duomo, Florence, by Lorenzo Ghiberti, Michelozzo, Vittorio Ghiberti et al., Gilt bronze, 5.18m high, 2 doors, 10 panels. 2 lowest panels (David, and Soloman and the Queen of Sheba) missing; photgraphed in the Sculpture Gallery of the Royal Institution in late 19th-century.also the decorated jambs of the architrave do not appear to have been included in the original casting. Published: The Scotsman, 3 Feb 1913. Smailes, Helen, Journal of the History of Collections (1991), 3 (2): 125-143, doi: 10.1093/jhc/3.2.125.",Casting Plaster/plaster/coating (material)/materials (substances); Patina,NA,Art Collection; Edinburgh College of Art; Cast Collection,NA,NA,EU1450,https://collections.ed.ac.uk/art/record/20577?highlight=*:*,East Doors of Florence Baptistery; Ghiberti Doors,NA
Clement Pappi,Dying Adonis,Pre 1837,19th century; 1820s; 1830s,"Cast from an original: Adone morente, Museo Nazionale del Bargello, Florence, by Vincenzo de' Rossi (1525-1587), Marble formerly at Villa Poggio Imperiale, formerly attributed to Michelangelo, now generally attributed to Vincenzo de' Rossi. 4 seamlines.",Casting Plaster/plaster/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art; Cast Collection,NA,NA,EU1469,https://collections.ed.ac.uk/art/record/20596?highlight=*:*,Adone morente; Adonis mourant,NA
Colin A. Lawson,Untitled,1981,1980s,"Graphite drawing of interior space, stairwell.",graphite (mineral)/inorganic material/materials (substances),Measurements include mount,Art Collection; Art Collection; Edinburgh College of Art,drawings (visual works); drawings 1901-2000,Signature seen on bottom right handside of mount,EU4294,https://collections.ed.ac.uk/art/record/99530?highlight=*:*,NA,NA
Colin A. Lawson,Passage with Stacks and Artificial Light,1981,20th century; 1980s,NA,Oil on Board/oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3109,https://collections.ed.ac.uk/art/record/22554?highlight=*:*,NA,NA
Colin Adams,Border Fancy,1979,20th century; 1970s,Abstract print,NA,91.7cm H x 79.8cm W (with mount) 76cm H x 56.4cm W (without mount),Art Collection; Edinburgh College of Art,prints (visual works),Colin Adams signature,EU2505,https://collections.ed.ac.uk/art/record/21630?highlight=*:*,NA,NA
Colin Brown,Sketch of Window for Final Composition,NA,20th century,Head and shoulders portrait of young male figure in red shirt. Body turned towards the left of the composition but facing the viewer. Interior wall and window in background.,oil paint (paint)/paint (coating),30.4cm (H) x 40.6cm (W),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3658,https://collections.ed.ac.uk/art/record/53567?highlight=*:*,NA,NA
Colin Brown,Unknown,NA,20th century,Industrial scene with corrugated iron building to left of composition and large conveyor belt with wheel engine to right.,oil paint (paint)/paint (coating),30.4cm (W) x 40.6cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3656,https://collections.ed.ac.uk/art/record/53565?highlight=*:*,NA,NA
Colin Brown,Sketch for Final Composition,NA,20th century,"An empty train station from the perspective of standing on the tracks. Awnings on stilts on left and right of composition and large wall with three tunnels in the background, into which the tracks lead.",oil paint (paint)/paint (coating),40.6cm (W) x 30.4cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3657,https://collections.ed.ac.uk/art/record/53566?highlight=*:*,NA,NA
Colin Campbell,House and Garden,NA,NA,NA,watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,watercolours (paintings),NA,EU2309,https://collections.ed.ac.uk/art/record/21435?highlight=*:*,NA,NA
Colin Lawson,Seated Female Nude,NA,NA,NA,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1647,https://collections.ed.ac.uk/art/record/20774?highlight=*:*,NA,NA
Colin Montgomery,Damn blast and a side order of damn,NA,NA,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3100,https://collections.ed.ac.uk/art/record/22545?highlight=*:*,NA,NA
Colin Stewart,Seated Female Nude,NA,NA,NA,paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU2299,https://collections.ed.ac.uk/art/record/21425?highlight=*:*,NA,NA
Colin Turner,Portrait of a Woman,1957,20th century; 1950s,NA,paper (fibre product); watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU2017,https://collections.ed.ac.uk/art/record/21144?highlight=*:*,NA,NA
Colin Turner,Portrait of a Woman,1957,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2016,https://collections.ed.ac.uk/art/record/21143?highlight=*:*,NA,NA
Colin Turner,Seated Female Nude,1957,20th century; 1950s,Gained his Diploma from ECA in 1957.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1839,https://collections.ed.ac.uk/art/record/20966?highlight=*:*,NA,NA
Colin Vernall,Untitled,NA,NA,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); acrylic,NA,EU3186,https://collections.ed.ac.uk/art/record/22631?highlight=*:*,NA,NA
Connie Dearness,Of Christine Clay,1964,1960s; 20th century,"Head and shoulders portrait of female figure in three-quarter view, looking towards right of composition. Figure is wearing a shirt with top button fastened and open jacket. Shoulder length hair.",graphite (mineral)/inorganic material/materials (substances),23cm (W) x 38cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3674,https://collections.ed.ac.uk/art/record/53583?highlight=*:*,NA,NA
Crosier,Untitled,03 Jul 2014,NA,Pencil drawing of a woman,graphite (mineral)/inorganic material/materials (substances),27.4cm H 22.7cm W,Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,"Bottom right hand corner of border the artists name has been written in pen, along with course initials and date. Below this the artist’s name has been written in pencil, next to a yellow sticker. Nothing on the back.",EU2953,https://collections.ed.ac.uk/art/record/22494?highlight=*:*,NA,NA
D Forest,Portrait of a Woman,1952,20th century; 1950s,Drawing from an ECA examination.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2075,https://collections.ed.ac.uk/art/record/21202?highlight=*:*,NA,NA
D G Seymour,Standing Female Nude,1957,20th century; 1950s,Gained a Diploma from ECA in 1957.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1836,https://collections.ed.ac.uk/art/record/20963?highlight=*:*,NA,NA
D Stewart Lowdon,Portrait of a Woman,1954,20th century; 1950s,From Diploma examination.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2087,https://collections.ed.ac.uk/art/record/21214?highlight=*:*,NA,NA
D Stewart Lowdon,Seated Female Nude,1954,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2114,https://collections.ed.ac.uk/art/record/21241?highlight=*:*,NA,NA
D W Durwand,Portrait of a Woman,1958,20th century; 1950s,Gained a Diploma in 1958 from ECA.,chalk,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1827,https://collections.ed.ac.uk/art/record/20954?highlight=*:*,NA,NA
D. Ganley,Untitled,Unknown,NA,"A building explosion, with missiles falling.",NA,56.5cm H x 76.5cm W,Art Collection; Edinburgh College of Art,NA,D. Ganley signature,EU2731,https://collections.ed.ac.uk/art/record/21854?highlight=*:*,NA,NA
D. Gordon Campbell,Unknown,1953,1950s; 20th century,"Studies of reclining male nude figure on back with legs raised and head/right arm closest to the viewer. Full length portrait at centre of composition, with closer studies of head and right hand at bottom.",graphite (mineral)/inorganic material/materials (substances),20.2cm (W) x 31.8cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3640,https://collections.ed.ac.uk/art/record/53549?highlight=*:*,NA,NA
D. Gordon Campbell,Unknown,1954,1950s; 20th century,Semi-abstracted view of figures standing beside a large fountain with buildings in background.,watercolour (paint)/paint (coating),50cm (W) x 35cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3560,https://collections.ed.ac.uk/art/record/50634?highlight=*:*,NA,NA
D. Gordon Campbell,Portrait Figure Sitting,1952,20th century; 1950s,Seated figure,oil paint (paint)/paint (coating); hardboard/wood board/plant material/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3062,https://collections.ed.ac.uk/art/record/22508?highlight=*:*,NA,NA
D. Gordon Campbell,Still Life Apples,1953,20th century; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3229,https://collections.ed.ac.uk/art/record/22674?highlight=*:*,NA,NA
Daisy Lafarge,Not For Gain,2016,NA,"Lafarge’s interest in ecological and social relationships are a recurrent theme in her work, the two often merging so as to become indistinguishable from each other. Plant hunting and the Victorian desire to collect, categorise and ultimately control specimens is a particular area of focus in Lafarge’s research. The repeated use of the terms ‘garden’ and ‘borders’ in Not For Gain’s narration hints at themes of nationalism, migration and imperialism.",Film,NA,Art Collection; Edinburgh College of Art,NA,NA,EU3998,https://collections.ed.ac.uk/art/record/99238?highlight=*:*,NA,NA
Daisy Richardson,Untitled,2006,2000s,Mixed media print with paper collaged on top with additional panels of semi-transparent material afixed on either edge.,mixed media/materials (substances); Print,NA,Art Collection; Edinburgh College of Art,mixed media works,Edition 11/30,EU5093,https://collections.ed.ac.uk/art/record/99866?highlight=*:*,NA,NA
